"","Amboseli","Bissil","Emali","Kiboko","Kibwezi","Magadi","MasaiMara","Nairobi","Nakuru","Namanga","Ologgasailie","Oloitoktok","SultanHamud","Taveta"
"Amboseli",0,67.0113266724008,76.6627348548359,69.5837552344962,82.7034479675523,132.153170528715,261.966285873348,153.604848986189,284.922758806647,51.6749248027621,147.529905057977,47.3358002010224,66.1667666735951,91.9657166795034
"Bissil",67.0113266724008,0,80.8984936475996,91.6786878005402,122.458380022382,70.9978591877652,202.148439975897,91.1747384748868,218.929077091874,35.4360673436972,80.6776555917016,114.187171697213,57.4957502184035,158.960160174713
"Emali",76.6627348548359,80.8984936475996,0,21.6905934321326,56.2994421862675,147.378230421623,274.777199918172,122.337577949831,254.597931413586,99.3794602080513,142.494824159222,100.401809335183,23.5324010611412,138.537256857815
"Kiboko",69.5837552344962,91.6786878005402,21.6905934321326,0,35.3851583887888,161.208710773257,290.636521259193,143.074377328569,275.898196101633,103.156738371195,160.023456364158,83.8514034581351,38.856429687779,119.144715974808
"Kibwezi",82.7034479675523,122.458380022382,56.2994421862675,35.3851583887888,0,193.203159684221,323.707696528736,178.398284154897,310.893197840947,127.023922858203,194.516507704784,75.589363625544,73.7875183375175,99.2202739252703
"Magadi",132.153170528715,70.9978591877652,147.378230421623,161.208710773257,193.203159684221,0,131.273685333876,84.7041554597844,175.962606655412,83.0454632021268,38.0904911596562,178.835380561958,124.120607551392,222.120837381338
"MasaiMara",261.966285873348,202.148439975897,274.777199918172,290.636521259193,323.707696528736,131.273685333876,0,173.396776894301,152.423825231055,210.952538728269,133.869530212339,307.520304233159,252.374945778892,349.125909431311
"Nairobi",153.604848986189,91.1747384748868,122.337577949831,143.074377328569,178.398284154897,84.7041554597844,173.396776894301,0,134.077730121093,124.796871082215,50.2858090740067,198.209872529058,106.381388917171,242.781768513417
"Nakuru",284.922758806647,218.929077091874,254.597931413586,275.898196101633,310.893197840947,175.962606655412,152.423825231055,134.077730121093,0,247.742509339483,143.576145480176,330.889726106624,240.236060020656,375.734869184278
"Namanga",51.6749248027621,35.4360673436972,99.3794602080513,103.156738371195,127.023922858203,83.0454632021268,210.952538728269,124.796871082215,247.742509339483,0,105.100394522556,96.6032648479926,78.5705679842522,139.194212304717
"Ologgasailie",147.529905057977,80.6776555917016,142.494824159222,160.023456364158,194.516507704784,38.0904911596562,133.869530212339,50.2858090740067,143.576145480176,105.100394522556,0,194.808580270744,121.185636753177,239.482619747522
"Oloitoktok",47.3358002010224,114.187171697213,100.401809335183,83.8514034581351,75.589363625544,178.835380561958,307.520304233159,198.209872529058,330.889726106624,96.6032648479926,194.808580270744,0,100.012444261909,44.9246532050092
"SultanHamud",66.1667666735951,57.4957502184035,23.5324010611412,38.856429687779,73.7875183375175,124.120607551392,252.374945778892,106.381388917171,240.236060020656,78.5705679842522,121.185636753177,100.012444261909,0,142.080014514435
"Taveta",91.9657166795034,158.960160174713,138.537256857815,119.144715974808,99.2202739252703,222.120837381338,349.125909431311,242.781768513417,375.734869184278,139.194212304717,239.482619747522,44.9246532050092,142.080014514435,0
