,Amboseli,Bissil,Emali,Kiboko,Kibwezi,Magadi,MasaiMara,Nairobi,Nakuru,Namanga,Ologgasailie,Oloitoktok,SultanHamud,Taveta
Amboseli,0,1,1,0.935832444,1,1,1,1,1,1,1,1,0.861480688,0.185559586
Bissil,1,0,0.288981269,0.755973516,0.478915886,0.734593926,0.222217869,1,1,0.206499347,0.756256364,1,0.368990581,1
Emali,1,0.288981269,0,0.639927334,0.522379782,0.734848752,0.30524094,1,1,0.183032608,0.634406158,1,0.139059364,1
Kiboko,0.935832444,0.755973516,0.639927334,0,0.509933613,0.73495537,0.771866699,1,0.281150704,0.649699332,0.640474149,1,0.575527975,0.935643271
Kibwezi,1,0.478915886,0.522379782,0.509933613,0,0.987716624,0.479318476,1,0.386202324,0.479322069,0.988974262,1,0.60244262,1
Magadi,1,0.734593926,0.734848752,0.73495537,0.987716624,0,0.746141442,1,1,0.734824016,0.50256196,0.557824749,0.734710452,1
MasaiMara,1,0.222217869,0.30524094,0.771866699,0.479318476,0.746141442,0,1,1,0.122217319,0.772130922,1,0.385196042,1
Nairobi,1,1,1,1,1,1,1,0,1,1,0.573479222,1,1,0.817354656
Nakuru,1,1,1,0.281150704,0.386202324,1,1,1,0,1,1,1,1,1
Namanga,1,0.206499347,0.183032608,0.649699332,0.479322069,0.734824016,0.122217319,1,1,0,0.650105045,1,0.262929851,1
Ologgasailie,1,0.756256364,0.634406158,0.640474149,0.988974262,0.50256196,0.772130922,0.573479222,1,0.650105045,0,0.790736864,0.634234997,0.817572308
Oloitoktok,1,1,1,1,1,0.557824749,1,1,1,1,0.790736864,0,1,1
SultanHamud,0.861480688,0.368990581,0.139059364,0.575527975,0.60244262,0.734710452,0.385196042,1,1,0.262929851,0.634234997,1,0,0.861071978
Taveta,0.185559586,1,1,0.935643271,1,1,1,0.817354656,1,1,0.817572308,1,0.861071978,0
