population,sample,hybrid_score
Amboseli,AmbANE,0.688810537
Amboseli,AmbBOO,0.977839519
Amboseli,AmbCAY,0.990554991
Amboseli,AmbFIN,0.981115241
Amboseli,AmbGRA,0.908942945
Amboseli,AmbGYA,0.967723759
Amboseli,AmbHOJ,0.975683056
Amboseli,AmbHYD,0.994413907
Amboseli,AmbKAF,0.965980556
Amboseli,AmbLEY,0.89382375
Amboseli,AmbLYB,0.774459213
Amboseli,AmbTHU,0.996450185
Amboseli,AmbWAJ,0.979495185
Amboseli,AmbYUG,0.963169167
Bissil,Bis100,0.006504972
Bissil,Bis101,0.009859083
Bissil,Bis103,0.015399509
Bissil,Bis104,0.014562518
Bissil,Bis105,0.003152759
Bissil,Bis106,0.003743121
Bissil,Bis107,0.005158065
Bissil,Bis62,0.006725472
Bissil,Bis66,0.011065426
Bissil,Bis71,0.012031611
Bissil,Bis73,0.020534065
Bissil,Bis74,0.006604444
Bissil,Bis77,0.012994222
Bissil,Bis79,0.006446019
Bissil,Bis81,0.010354306
Bissil,Bis82,0.015272574
Bissil,Bis83,0.017907121
Bissil,Bis84,0.020610352
Bissil,Bis85,0.012077435
Bissil,Bis89,0.006602509
Bissil,Bis90,0.018670732
Bissil,Bis91,0.004802009
Bissil,Bis92,0.017135556
Bissil,Bis93,0.007303991
Bissil,Bis96,0.029012176
Bissil,Bis97,0.00643875
Bissil,Bis98,0.037279398
Emali,Ema702,0.43345387
Emali,Ema705,0.986675778
Emali,Ema708,0.00211012
Emali,Ema710,0.036334991
Emali,Ema715,0.000699954
Emali,Ema717,0.001229676
Emali,Ema719,0.000493528
Emali,Ema724,0.001618102
Kiboko,Kib309,0.991050398
Kiboko,Kib314,0.486841824
Kiboko,Kib355,0.062765306
Kiboko,Kib384,0.09910538
Kiboko,KibA5,0.969455713
Kiboko,KibA6,0.996507556
Kiboko,KibT,0.03189238
Kiboko,KibA4,0.020554389
Kiboko,KibY,0.82205713
Kiboko,KibX,0.12621038
Kibwezi,Kib483,0.57669325
Kibwezi,Kib484,0.703438269
Kibwezi,Kib482,0.921245639
Kibwezi,Kib496,0.94599175
Kibwezi,Kib497,0.998565824
Kibwezi,Kib499,0.998922935
Kibwezi,Kib503,0.943029361
Kibwezi,Kib507,0.807984176
Kibwezi,Kib509B,0.331331574
Kibwezi,Kib512,0.94851775
Kibwezi,Kib485,0.99262662
Kibwezi,Kib486,0.162710722
Kibwezi,Kib487,0.998155509
Kibwezi,Kib488,0.999189454
Kibwezi,Kib490,0.828190176
Kibwezi,Kib495,0.998490157
Magadi,Mag530,0.022070102
Magadi,Mag531,0.018214167
Magadi,Mag533,0.003821843
Magadi,Mag535,0.018227519
Magadi,Mag536,0.007650185
Magadi,Mag540,0.006479695
Magadi,Mag541,0.009415907
Magadi,Mag542,0.00766562
Magadi,Mag544,0.001604565
Magadi,Mag545,0.00340563
Magadi,Mag547,0.011619324
Magadi,Mag548,0.005942685
Magadi,Mag550,0.081719806
Magadi,Mag551,0.002667805
MasaiMara,Mas587,0.000118991
MasaiMara,Mas589,0.000121778
MasaiMara,Mas592,0.000118176
MasaiMara,Mas595,0.000145278
MasaiMara,Mas596,9.36E-05
MasaiMara,Mas597,6.50E-05
MasaiMara,Mas598,0.000114268
MasaiMara,Mas600,0.000129787
MasaiMara,Mas601,9.05E-05
MasaiMara,Mas602,5.88E-05
MasaiMara,Mas614,9.39E-05
MasaiMara,Mas615,0.000169555
MasaiMara,Mas616,8.62E-05
MasaiMara,Mas619,0.000208908
MasaiMara,Mas620,9.32E-05
MasaiMara,Mas621,0.000394565
MasaiMara,Mas622,0.000104046
MasaiMara,Mas624,8.55E-05
Nairobi,NaiB,8.03E-05
Nairobi,NaiL,0.000488611
Nairobi,NaiN,0.000390269
Nairobi,NaiU,0.007956278
Nakuru,Nak647,3.33E-07
Namanga,Nam109,0.023490194
Namanga,Nam110,0.030447139
Namanga,Nam112,0.033006324
Namanga,Nam114,0.04762763
Namanga,Nam115,0.023674648
Namanga,Nam116,0.023886361
Namanga,Nam117,0.040000907
Namanga,Nam119,0.037139528
Namanga,Nam120,0.033039843
Namanga,Nam13,0.014933222
Namanga,Nam15,0.086474676
Namanga,Nam16,0.021760731
Namanga,Nam17,0.096719352
Namanga,Nam20,0.085088
Namanga,Nam21,0.43548988
Namanga,Nam22,0.144173944
Namanga,Nam24,0.075420815
Namanga,Nam25,0.024802472
Namanga,Nam41,0.105138398
Namanga,Nam45,0.016142315
Namanga,Nam49,0.061959074
Namanga,Nam50,0.080870056
Namanga,Nam51,0.055447685
Namanga,Nam52,0.136174148
Namanga,Nam55,0.240051028
Namanga,Nam8,0.021834593
Ologgasailie,Olo523,0.001054917
Ologgasailie,Olo524,0.002547194
Ologgasailie,Olo526,0.001145454
Ologgasailie,Olo564,0.00598337
Ologgasailie,Olo566,0.004602657
Ologgasailie,Olo570,0.000315593
Ologgasailie,Olo563,0.000522083
Ologgasailie,Olo573,0.000963991
Ologgasailie,Olo575,0.003357454
Ologgasailie,Olo577,0.001156519
Ologgasailie,Olo571,0.002288389
Oloitoktok,Olo146,0.995921445
Oloitoktok,Olo148,0.995867204
Oloitoktok,Olo149,0.994948611
Oloitoktok,Olo150,0.984131481
Oloitoktok,Olo152,0.995945185
Oloitoktok,Olo155,0.997089463
Oloitoktok,Olo156,0.994684593
Oloitoktok,Olo159,0.985929426
Oloitoktok,Olo160,0.381189463
Oloitoktok,Olo161,0.24822012
Oloitoktok,Olo167,0.99560825
Oloitoktok,Olo172,0.986561343
Oloitoktok,Olo173,0.998023926
Oloitoktok,Olo182,0.991666333
Oloitoktok,Olo183,0.980789528
Oloitoktok,Olo184,0.985055
Oloitoktok,OloP,0.240528593
SultanHamud,Sul274,0.007881833
SultanHamud,Sul275,0.002786028
SultanHamud,Sul276,0.005614806
SultanHamud,Sul281,0.002800269
SultanHamud,Sul287,0.003544482
SultanHamud,Sul290,0.002827334
SultanHamud,Sul291,0.022550148
SultanHamud,Sul292,0.001509389
SultanHamud,SulI,0.004446806
SultanHamud,SulN,0.003391528
SultanHamud,SulZ12,0.026221472
SultanHamud,SulZ5,0.012883954
SultanHamud,SulZ6,0.002123454
Taveta,Tav186,0.999558713
Taveta,Tav199,0.999750259
Taveta,Tav205,0.9994295
Taveta,Tav207,0.994603731
Taveta,Tav217,0.999282389
Taveta,Tav224,0.999550222
Taveta,Tav225,0.999472806
Taveta,Tav227,0.998963843
Taveta,Tav229,0.999446194
Taveta,Tav234,0.998230102
Taveta,Tav245,0.990579158
Taveta,TavA,0.999648204
