OTU_ID	Mag551	AmbKAF	Kib309	Mas621	Mas620	Kib490	Kib497	Kib496	Kib495	Kib499	Mas624	Tav186	Nam119	Sul275	Sul274	AmbGYA	Tav234	Olo523	Olo167	Olo161	Tav217	Mas619	Mas614	Mas615	Mas616	Olo524	AmbWAJ	KibA4	AmbANE	Nam109	KibA5	Tav225	Tav224	Nam25	Mas622	Nam22	Nam21	Nam20	Tav229	Kib384	Bis105	Bis104	Bis107	Bis106	Bis101	Bis100	Bis103	Olo184	Nam49	Nam120	Tav199	AmbLEY	Mas602	Mas601	Mas600	BLANK1	BLANK2	BLANK3	BLANK4	Tav227	Bis83	Bis82	Bis81	Nam24	Bis85	Bis84	Bis89	Nak647	Nam55	Nam52	Nam50	Nam51	NaiU	Olo172	Olo173	Ema724	AmbCAY	NaiL	NaiN	Kib512	Kib355	Nam114	Nam115	Nam116	Nam117	Nam110	Olo577	NaiB	Olo575	Kib484	Mag530	Mag533	Bis98	Tav207	Bis96	Bis97	Bis90	Bis91	Bis92	Bis93	Nam45	Sul276	Olo182	AmbGRA	Mag536	Mag542	Olo160	OloP	AmbHOJ	Kib507	Bis62	Kib503	Bis66	Nam41	Olo563	Olo564	Olo566	Mag548	AmbYUG	TavA	Mag540	Mag541	AmbBOO	Mag544	Mag545	Mag547	Nam112	AmbTHU	Olo159	Olo150	Olo152	Olo155	Olo156	AmbFIN	Bis71	Bis77	Bis74	Mag550	Bis79	Mas587	Sul287	Sul281	Olo570	WaterBLANK1	Mas597	Mas596	Mas595	Mas592	Olo571	Kib509B	Mas589	Mas598	SulZ12	Nam8	Sul292	Sul291	Sul290	Ema711	Ema704	Ema705	Ema706	Ema710	Ema701	Ema702	Olo573	SulN	WaterBLANK	Ema708	Ema709	KibA6	SulZ6	Kib314	SulZ5	Nam13	AmbLYB	Nam16	Nam17	Nam15	Mag531	Kib485	Kib486	Kib487	Mag535	SulI	Kib482	Kib483	AmbHYD	Kib488	Tav205	Olo526	Tav245	Bis73	Olo183	Olo146	KibX	KibY	Ema717	Olo149	Ema715	Ema719	KibT	Olo148	taxonomy
r1.1	1392.696989	2765.04298	26402.80778	19988.54626	1057.332293	520.6338726	3460.185185	1956.441999	621.9864995	571.4768503	51791.4952	1507.183908	938.1294964	519.9537305	829.522254	5138.646288	1271.773347	828.2058263	600.7146047	375.4789272	2580.213904	2374.162679	4559.246955	328.3653846	1702.12766	135.3654539	2301.204819	865.9359191	4282.258065	877.098724	285.041225	2115.848407	602.1505376	437.9692528	3915.313734	1992.982456	1624.743115	6785.876993	1109.007833	5382.374907	539.0447309	265.7466384	293.164757	664.8140231	790.4139434	438.0865187	799.4814175	293.7014668	1900.471698	1037.565521	2682.648402	2258.40708	2814.738576	761.2244898	3832.799803	0	41.66666667	0	0	9378.403756	449.3914158	160.3408211	892.7973199	3947.803947	831.2985572	486.8285124	1249.207673	779.3218455	1673.998045	2105.263158	3588.975434	892.7245731	1938.977879	372.6366449	136.9905956	249.900833	1166.363636	56679.69925	283.7407014	2660.408163	1219.12114	564.0599002	1067.006803	1210.220264	538.6429608	1099.120235	506.3451777	1714.363587	224.1273729	668.5979143	4557.825909	1234.995773	586.9947276	1265.404752	263.7053697	145.1865789	479.0129738	207.5088787	1508.445946	443.577431	964.9653979	1508.329863	2764.624438	1412.080537	1301.075269	144.6262716	27.085257	3.262642741	1226.926736	1785.963969	260.4006163	226.076555	122.2925691	1404.204815	1444.073456	1182.5	714.1513869	248.3552632	2901.719902	358.2912265	2171.003717	180.0302572	1095.980312	620.213964	6636.070853	953.3799534	609.4890511	1714.285714	1841.539839	652.5210084	938.8633754	2786.605657	2292.568543	712.9337539	418.0128347	4447.251114	137.761926	383.2384052	371.5062112	2280.266189	598.987794	246.7324008	913.6085627	28.57142857	2755.741127	2682.997118	1997.277853	1536.726431	1000.820345	557.5433912	4432.025793	2530.373832	778.7034626	427.0927093	2083.078803	395.0449224	158.8785047	150.4065041	74.07407407	1256.853397	29.26829268	378.6140431	610.1694915	584.2900302	758.2704585	280.3650094	142.8571429	174.9174917	38.647343	2784.497945	1340.447576	924.0769631	810.1679104	4577.310924	1825.838103	886.7783985	350.5830904	13341.79223	745.481192	663.8383838	1870.045356	147.4358974	870.4094555	3152.560084	877.4653798	378.8495061	3746	1493.670886	392.1367521	674.5609367	41981.75345	266.1919295	3016.771488	3354.415274	741.6195037	1822.557471	418.1991122	1297.297297	238.5416667	200.7843137	4056.693989	971.6694772	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
r1.10	1087.764254	0	2035.637149	1251.54185	355.3042122	555.2987785	28.7037037	64.64924347	1045.965927	146.6711727	1650.205761	728.9272031	541.7266187	271.5442452	255.0020416	0	2197.796432	292.6762864	117.0165252	17.24137931	9.35828877	130.1435407	62.01550388	188.4615385	111.2185687	94.06751885	0	306.9139966	0	648.3098276	287.3969376	273.4711456	3.707823508	1307.114766	86.88021062	896.4912281	734.8951911	665.1480638	202.6762402	2058.999253	235.279252	229.6532201	545.239036	784.9508337	593.0283224	1589.837491	468.4528954	103.3649698	344.3396226	844.7874199	9.132420091	0	91.80732812	7.142857143	8.618566855	0	0	0	0	151.1737089	215.2466368	137.3612187	1431.742044	910.8847868	426.7480577	432.0764463	591.4929108	16.67593107	3170.087977	385.3599516	1416.716597	415.3674833	744.4698703	144.0357511	496.2382445	21.81673939	0	225.5639098	10.62699256	385.7142857	130.6413302	859.5198479	1525.170068	246.3436123	863.7518142	268.3284457	100.2538071	181.1120196	210.6552358	38.52838934	31.0584389	15.21555368	2262.155829	20.94240838	368.287883	238.6328003	112.693971	284.8807712	462.5563063	371.5486194	1140.138408	125.9891712	73.72793354	4.697986577	25.2688172	517.0278638	10.7725454	53.42577488	0	11.29335843	361.3251156	163.8755981	286.9043652	1265.513733	543.4056761	105.5	437.235543	7.401315789	1.228501229	27.10151585	6.195786865	284.720121	0	1488.457207	1403.381643	3719.69697	435.5231144	31.74603175	410.6236944	182.3529412	140.3559127	537.8535774	240.2597403	0	286.1252489	151.5601783	310.2987071	194.4670464	886.257764	10.49398515	288.4787139	244.4393488	194.9541284	0	5.781275092	110.2305476	1.555512347	29.20763447	277.6866284	726.3017356	104.7823751	1.557632399	922.4160375	767.7767777	144.1661576	86.30547237	56.07476636	85.36585366	234.5679012	280.6912992	19.51219512	166.1312529	0	242.9003021	377.8293674	93.76966646	0	69.9669967	130.4347826	157.9565473	127.4347286	665.6266251	210.8208955	920.1680672	4.088307441	624.9534451	487.6093294	1656.621729	12.70151441	307.0707071	111.6150661	409.6736597	351.2030393	768.5475444	38.60679815	171.4119698	82	132.0858558	29.05982906	567.0569452	847.3520249	422.5161072	103.5639413	55.29037391	2110.361341	1035.201149	31.07165504	44.27832087	83.33333333	53.33333333	242.4863388	190.2192243	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
r1.100	17.61691224	0	0	0	28.86115445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.915708812	0	2.870813397	0	1326.923077	0	0.32776139	0	0	0	0	0	0	0	0	0	0	0.411015208	0.911161731	0	0	0	0	0	0	0	0	0	0	0	0	1148.401826	1.179941003	0	0	0	0	0	0	0	0	0.320307495	0	0	0	0	0	0	144.524736	0	0	0	0	0	0	0	0	0	0	4.250797024	0	0	0	0.680272109	0.176211454	0	0	0	0	0	0	26.56313854	61.70752325	0	6242.851389	0	0	0	0.761035008	0	0	0	0	0	0	36.55913978	2325.077399	0	104.812398	0	0	0	0	0	0	0	1	0	182.5657895	0	0	18.58736059	71.40695915	204.2657916	1.407657658	5.636070853	3.496503497	0	0	4.476275739	407.5630252	0	0	0	0	0	0	0	81.77379984	0	0	0	0	0	0	20.3950538	0	0.194439043	45.40196645	0	0	0	0	0	0.450045005	0	0	0	0	0	0	0	0	0	7.854984894	0	4.719949654	0	61.38613861	0	0	5.5946954	0	0	0	0	0	0	0	259.4040059	0.808080808	0	0	0.844238075	0	0	0	0	0	217.4358974	0	0	0	0	0	0	0	0	0	0	0	0	71.50084317	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__
r1.1000	70.46764894	0	367.1706263	56.82819383	15.60062402	30.37306042	6.790123457	29.34433746	28.92960463	9.462656303	49.38271605	26.81992337	1.438848921	37.30480046	2.245814618	180.1310044	5.771248688	13.06833651	254.1313086	93.8697318	7.352941176	6.698564593	21.04097453	29.32692308	47.87234043	31.7928548	3.442340792	7.588532884	9.677419355	29.77389747	58.89281508	9.043927649	2.224694105	27.88702181	9.214567793	42.10526316	32.4702014	82.00455581	24.80417755	390.5899925	2.527167046	7.430997877	13.82852627	59.85463873	9.150326797	12.58869306	4.321521175	8.110440035	16.98113208	9.027373326	394.2161339	1.769911504	21.81967888	17.34693878	571.7803497	0	0	0	0	130.5164319	8.968609865	0	63.65159129	64.29026098	153.1631521	1.80785124	11.676397	10.00555864	36.16813294	6.654567453	21.86938286	6.681514477	37.75743707	610.8628395	20.37617555	3.5700119	35.45454545	33.08270677	2.125398512	2.857142857	21.37767221	13.07344901	34.3537415	4.757709251	3.809869376	1.46627566	10.78680203	12.67375307	9.797917942	10.42873696	163.8741316	11.83431953	15.52431166	34.63552155	4.779308406	10.03449357	19.07911473	7.864028412	10.13513514	27.01080432	18.16608997	3.956684715	24.22983731	0	13.97849462	3.095975232	8.618036319	235.3181077	2.854424358	0.537778973	3.852080123	5.38277512	5.664778407	16.61580197	17.25097385	13	28.67889046	31.25	0	13.32108406	16.10904585	33.58547655	0	123.5923423	26.57004831	302.4475524	20.37712895	0	3.581020591	38.65546218	19.80482204	8.319467554	104.6176046	0	1.327727373	4.086181278	29.87070887	30.10577705	1.940993789	5.119017149	6.251860673	7.108461362	9.93883792	0	26.01573792	141.9308357	8.749756951	8.097165992	45.9392945	20.29372497	23.10585707	418.2242991	78.10466024	19.8019802	7.33048259	1.089028042	8.761682243	0	12.34567901	1.191895113	0	1.835704452	0	30.21148036	15.67034243	5.034612964	0	0	4.830917874	14.67997651	12.63986738	229.849194	9.328358209	194.9579832	64.59525756	30.91247672	10.68999028	284.6946868	24.91450904	3.232323232	22.87517255	2.03962704	40.52342761	10.97178683	738.9844734	11.04009297	262	17.06108971	4.786324786	9.04736562	86.7823765	1.356391997	49.05660377	192.5218775	18.72006966	10.77586207	12.04819277	55.77918344	4.166666667	3.137254902	13.66120219	55.64924115	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
r1.1001	0	0	0	0	0	0	14.19753086	0.458505273	39.53712633	4.731328151	0	0	0	4.048582996	0	0	0	16.87993466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.033057851	0	0	0	0	0	0	14.87414188	0	4.388714734	0	0	0	1.416932341	0	0.593824228	0	0	0	0	0	0	0	3.061849357	0	0	0	0	0	0	0	1.271940982	6.595636733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4.134129536	0	0	0	0	0	0	0	0	4.476275739	0	0	12.06322795	0	0	0	0	0	0	1.552795031	0	0	0.229305205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.055880788	0	3.051881994	0	0	0	0	5.389980977	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
r1.1002	1.281229981	0	0	0	0.390015601	1.650709805	0.925925926	0	2.571520411	0	0	0	0.35971223	0.2891845	0.612494896	0	0	0	1.786511836	0	0	0	0	1.923076923	0	0	0	0	0	0	0	0	0	5.005362889	0	0	0	0.911161731	1.305483029	0	0	0	1.975503753	0	0	0.915541314	0	0.172562554	0.471698113	0.291205591	1.522070015	0	0	0	1.477468604	0	0	0	0	0	8.64830237	0	2.512562814	0	0	0	0	2.223457476	1.955034213	1.209921355	1.797483523	0.371195249	0	1.031282228	35.10971787	4.363347878	0	0	1.416932341	0	0	1.663893511	0	0	0.181422351	1.759530792	0	0	0	0	0	0	0	0	1.96795052	0	1.526329178	0	6.193693694	0.300120048	0.865051903	0	0.346140533	0	0	0	2.15450908	1.63132137	0	3.76445281	0	0.598086124	0.999666778	0.678195999	0.278241514	1	0	0	0	1.378043179	0	0	0	2.252252252	0	0	0.912408759	0	2.685765443	0	2.296211251	1.663893511	1.803751804	0	0	0	0.891662951	0	0.776397516	1.279754287	3.572491813	0.45861041	4.96941896	0	1.124136824	0	0	1.156737999	0	0.267022697	0.537345513	0	0	0.900090009	0.610873549	1.089028042	0.58411215	0	0	0	0	0	0	0	0	1.887979862	0	0	0	1.174398121	0	0.520020801	0	0	0	0	1.214771623	0	0.488519785	0	1.380398344	2.913752914	0	0	0	5.229517722	0	0	0	1.064395955	0	0.339097999	0	2.386634845	1.088376143	0	0.951173114	0	2.604166667	3.137254902	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
r1.1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.907715582	146.8416735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae; g__; s__
r1.1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.098635887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.17196997	0	25.87719298	55.48705302	3.189066059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.10375557	0	0	0	0	0	0	0.599161174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.126126126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279754287	0	0	0	0	0	0	0	0	5.332239541	0	0	0	0	0	0	0	0.58411215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520020801	0	0	0	1.489757914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
r1.1005	0.64061499	0	0	12.33480176	0	0	0	0	0	0	4.115226337	0	0	0	0	0	5.246589717	0	0	0	2.005347594	0	0	0.240384615	0	0	0	0	0	0.447727782	0	0.430663221	0.370782351	1.072577762	0	0.877192982	0.411015208	0	1.305483029	0	0	0	0	1.710132535	0	0	0	0	0.943396226	24.75247525	0	0	0	0	0.492489535	0	0	0	0	4.694835681	4.804612428	1.032791118	0	0	0	0	0	0	0	0	0.898741762	0	1.14416476	0	0	0	5.454545455	1.503759398	0	0	0	0	1.700680272	0	0	0	1.269035533	0	0	0	1.225991009	0	0	0	0	0	0	0	0	0	0	0	0	0	1.612903226	0	0	0	0	0	0.770416025	0	1.332889037	0	0	1.5	1.410437236	0	0	0	0	0	0	0.281531532	0	0	0	0	0	0	0	0	0	0	0	0	0.445831476	0	0.388198758	0.511901715	0	0	1.529051988	0	0	0.720461095	0	0	1.640689089	0.267022697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.761597181	0	0	0	0	7.358953393	0	0	0	0	0	0	0	0	0	0	1.162115049	14	0	0	0	0.445037828	2.373685995	2.51572327	0	0	0	0.634115409	0.575043128	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
r1.1006	0	0	0	4.405286344	0	0	0	0	0	0	0	0.478927203	0	0	0.408329931	0	0.524658972	0	0	0	0	0	0	1.682692308	0	0	0	0	0	0	0	0.861326443	0.370782351	0.357525921	0	0	0	0	0	0	0	0	1.580403003	2.565198803	0.435729847	0	0	0	0	11.35701805	0	0	0	0	0	0	0	0	0	0.938967136	0.64061499	0	0	0	0	0.516528926	0	0	0	0	0	0	0	0	0	0	1.818181818	1.503759398	0	0	0	0	0	0	0.544267054	0	0	0	0	0	0	0	0	0	0	0	0	0.761035008	1.126126126	0	0	0	0.346140533	0	0.537634409	0	0	0	0	1.344447432	0	0	0	0.678195999	0	0	0	0	0	0	2.478314746	0	0	0	0	2.331002331	0.912408759	27.77777778	0.596836765	0	0	0	0.360750361	0	0	0	0.445831476	0	0	0	0	0	0	0	0	2.161383285	0.388878087	0	0.410172272	0	1.612036539	0	0	0	0	0	5.257009346	0	0	0	0	0.917852226	0	0	1.450957632	0	0	0	0	5.871990605	0	1.560062402	0	0	0	3.724394786	0	0	0	0	0	0.874125874	0.844238075	0	0	0	0	0	0	0	0	0.339097999	1.257861635	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium
