"","Amboseli","Bissil","Emali","Kiboko","Kibwezi","Magadi","MasaiMara","Nairobi","Nakuru","Namanga","Ologgasailie","Oloitoktok","SultanHamud","Taveta"
"Amboseli",0,0.0889138591542833,0.0652684369978813,0.0206615804347263,0.0544554102249187,0.057523524742348,0.0565887165474051,0.0693547720076758,0.0838371594312703,0.104760590159206,0.0579103895592261,0.0347624078816348,0.102483250912407,0.032446378984931
"Bissil",0.0889138591542833,0,0.018750785853361,0.0606139079260848,0.0987379664686685,0.052558723384377,0.0535596062919211,0.0728750779711756,0.0802938380288944,0.032979780845354,0.0459253135029405,0.103529007655276,0.0734847224333353,0.119987755461283
"Emali",0.0652684369978813,0.018750785853361,0,0.0146428450707101,0.0637564801557541,0.0356311940189781,0.0517996421511192,0.0385148487112439,0.0617435503980052,0.0486310446731486,0.028332235094891,0.0855675846264301,0.0478085213905169,0.0856860655345033
"Kiboko",0.0206615804347263,0.0606139079260848,0.0146428450707101,0,0.0160031318868701,0.0416570880376086,0.038846397694447,0.0476671028218209,0.0280751172030692,0.0651513263665129,0.0380749853237755,0.0641423655252636,0.0581286926035116,0.0376882686270167
"Kibwezi",0.0544554102249187,0.0987379664686685,0.0637564801557541,0.0160031318868701,0,0.0688387986648896,0.0727489151304592,0.0784087493274586,0.0910940969086212,0.101216223254563,0.101520417763664,0.0635618158140935,0.110224495191054,0.0520977492833594
"Magadi",0.057523524742348,0.052558723384377,0.0356311940189781,0.0416570880376086,0.0688387986648896,0,0.0508767911394591,0.0806953809022055,0.0606425558781411,0.071091256980062,0.0532492907347165,0.0934925809881332,0.104808102730388,0.0888305294133749
"MasaiMara",0.0565887165474051,0.0535596062919211,0.0517996421511192,0.038846397694447,0.0727489151304592,0.0508767911394591,0,0.0725311282758552,0.105751272645024,0.0806907758676925,0.0456373309015392,0.100094413725924,0.101245475736319,0.095878943085211
"Nairobi",0.0693547720076758,0.0728750779711756,0.0385148487112439,0.0476671028218209,0.0784087493274586,0.0806953809022055,0.0725311282758552,0,0.0607457059069962,0.0999915976709783,0.0190009896690167,0.0938287471399102,0.0552904752478801,0.0787583069365179
"Nakuru",0.0838371594312703,0.0802938380288944,0.0617435503980052,0.0280751172030692,0.0910940969086212,0.0606425558781411,0.105751272645024,0.0607457059069962,0,0.129654580057554,0.0634757713546237,0.15623290592096,0.121757842747184,0.0969062809122342
"Namanga",0.104760590159206,0.032979780845354,0.0486310446731486,0.0651513263665129,0.101216223254563,0.071091256980062,0.0806907758676925,0.0999915976709783,0.129654580057554,0,0.0824070410577407,0.127189878716317,0.0899776539631199,0.123943087893679
"Ologgasailie",0.0579103895592261,0.0459253135029405,0.028332235094891,0.0380749853237755,0.101520417763664,0.0532492907347165,0.0456373309015392,0.0190009896690167,0.0634757713546237,0.0824070410577407,0,0.0880305592176125,0.0703457607290871,0.107207529520348
"Oloitoktok",0.0347624078816348,0.103529007655276,0.0855675846264301,0.0641423655252636,0.0635618158140935,0.0934925809881332,0.100094413725924,0.0938287471399102,0.15623290592096,0.127189878716317,0.0880305592176125,0,0.137012487266086,0.072239254613735
"SultanHamud",0.102483250912407,0.0734847224333353,0.0478085213905169,0.0581286926035116,0.110224495191054,0.104808102730388,0.101245475736319,0.0552904752478801,0.121757842747184,0.0899776539631199,0.0703457607290871,0.137012487266086,0,0.106960979589898
"Taveta",0.032446378984931,0.119987755461283,0.0856860655345033,0.0376882686270167,0.0520977492833594,0.0888305294133749,0.095878943085211,0.0787583069365179,0.0969062809122342,0.123943087893679,0.107207529520348,0.072239254613735,0.106960979589898,0
